id;avaliacao_id;municipio_id;indicador_id;valor
100;1;2;46;3
101;1;2;47;3
102;1;2;48;3
103;1;2;49;3
104;1;2;50;2
105;1;2;51;2
106;1;2;52;2
107;1;2;53;2
108;1;2;54;3
109;1;3;1;2
110;1;3;2;2
111;1;3;3;2
112;1;3;4;2
113;1;3;5;3
114;1;3;6;2
115;1;3;7;2
116;1;3;8;2
117;1;3;9;3
118;1;3;10;2
119;1;3;11;2
120;1;3;12;2
121;1;3;13;2
122;1;3;14;2
123;1;3;15;3
124;1;3;16;3
125;1;3;17;3
126;1;3;18;3
127;1;3;19;2
128;1;3;20;2
129;1;3;21;2
130;1;3;22;2
131;1;3;23;3
132;1;3;24;3
133;1;3;25;2
134;1;3;26;2
135;1;3;27;2
136;1;3;28;2
137;1;3;29;2
138;1;3;30;2
139;1;3;31;2
140;1;3;32;3
141;1;3;33;2
142;1;3;34;3
143;1;3;35;3
144;1;3;36;3
145;1;3;37;2
146;1;3;38;2
147;1;3;39;2
148;1;3;40;2
149;1;3;41;2
150;1;3;42;2
151;1;3;43;3
152;1;3;44;3
153;1;3;45;3
154;1;3;46;3
155;1;3;47;3
156;1;3;48;3
157;1;3;49;3
158;1;3;50;2
159;1;3;51;2
160;1;3;52;1
161;1;3;53;1
162;1;3;54;3
163;1;4;1;2
164;1;4;2;2
165;1;4;3;2
166;1;4;4;2
167;1;4;5;3
168;1;4;6;3
169;1;4;7;3
170;1;4;8;3
171;1;4;9;3
172;1;4;10;3
173;1;4;11;3
174;1;4;12;3
175;1;4;13;3
176;1;4;14;3
177;1;4;15;3
178;1;4;16;3
179;1;4;17;3
180;1;4;18;3
181;1;4;19;3
182;1;4;20;3
183;1;4;21;3
184;1;4;22;3
185;1;4;23;3
186;1;4;24;3
187;1;4;25;3
188;1;4;26;3
189;1;4;27;2
190;1;4;28;2
191;1;4;29;1
192;1;4;30;1
193;1;4;31;2
194;1;4;32;3
195;1;4;33;3
196;1;4;34;3
197;1;4;35;3
198;1;4;36;3
199;1;4;37;2
200;1;4;38;2
201;1;4;39;2
202;1;4;40;2
203;1;4;41;2
204;1;4;42;2
205;1;4;43;3
206;1;4;44;3
207;1;4;45;3
208;1;4;46;3
209;1;4;47;3
210;1;4;48;3
211;1;4;49;3
212;1;4;50;3
213;1;4;51;3
214;1;4;52;2
215;1;4;53;2
216;1;4;54;3
217;1;5;1;2
218;1;5;2;2
219;1;5;3;3
220;1;5;4;3
221;1;5;5;3
222;1;5;6;2
223;1;5;7;2
224;1;5;8;2
225;1;5;9;3
226;1;5;10;3
227;1;5;11;3
228;1;5;12;2
229;1;5;13;2
230;1;5;14;2
231;1;5;15;3
232;1;5;16;3
233;1;5;17;3
234;1;5;18;2
235;1;5;19;2
236;1;5;20;3
237;1;5;21;3
238;1;5;22;2
239;1;5;23;3
240;1;5;24;3
241;1;5;25;2
242;1;5;26;2
243;1;5;27;2
244;1;5;28;2
245;1;5;29;3
246;1;5;30;3
247;1;5;31;3
248;1;5;32;3
249;1;5;33;3
